,song_id,song_name,artist,popularity,is_explicit,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
189,4OJXqQnjWwTni3rVLvMTwi,Hole in the Wall,Moses Gunn Collective,44.0,0.0,Mercy Mountain,2015-08-07,0.503,0.879,6,-4.501,1,0.0266,0.166,0.00572,0.0846,0.617,103.014,audio_features,4OJXqQnjWwTni3rVLvMTwi,spotify:track:4OJXqQnjWwTni3rVLvMTwi,https://api.spotify.com/v1/tracks/4OJXqQnjWwTni3rVLvMTwi,https://api.spotify.com/v1/audio-analysis/4OJXqQnjWwTni3rVLvMTwi,219059,4
190,27bBjan9bD8rUESGYqK9a7,Not My Baby,Alvvays,53.0,0.0,Antisocialites,2017-09-08,0.342,0.644,0,-4.363,1,0.0346,0.0291,0.299,0.0988,0.129,150.848,audio_features,27bBjan9bD8rUESGYqK9a7,spotify:track:27bBjan9bD8rUESGYqK9a7,https://api.spotify.com/v1/tracks/27bBjan9bD8rUESGYqK9a7,https://api.spotify.com/v1/audio-analysis/27bBjan9bD8rUESGYqK9a7,256413,4
191,2ZWlPOoWh0626oTaHrnl2a,Ivy,Frank Ocean,77.0,1.0,Blonde,2016-08-20,0.567,0.388,9,-9.579,0,0.0384,0.782,0.000309,0.248,0.452,116.362,audio_features,2ZWlPOoWh0626oTaHrnl2a,spotify:track:2ZWlPOoWh0626oTaHrnl2a,https://api.spotify.com/v1/tracks/2ZWlPOoWh0626oTaHrnl2a,https://api.spotify.com/v1/audio-analysis/2ZWlPOoWh0626oTaHrnl2a,249191,4
192,5GUYJTQap5F3RDQiCOJhrS,Self Control,Frank Ocean,72.0,0.0,Blonde,2016-08-20,0.572,0.209,8,-10.413,1,0.0313,0.765,0.0,0.356,0.446,80.069,audio_features,5GUYJTQap5F3RDQiCOJhrS,spotify:track:5GUYJTQap5F3RDQiCOJhrS,https://api.spotify.com/v1/tracks/5GUYJTQap5F3RDQiCOJhrS,https://api.spotify.com/v1/audio-analysis/5GUYJTQap5F3RDQiCOJhrS,249668,4
193,7MRyJPksH3G2cXHN8UKYzP,American Girl,Tom Petty and the Heartbreakers,76.0,0.0,Tom Petty & The Heartbreakers,1976-11-09,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,audio_features,7MRyJPksH3G2cXHN8UKYzP,spotify:track:7MRyJPksH3G2cXHN8UKYzP,https://api.spotify.com/v1/tracks/7MRyJPksH3G2cXHN8UKYzP,https://api.spotify.com/v1/audio-analysis/7MRyJPksH3G2cXHN8UKYzP,214733,4
194,0exOxvY3iHsmAnGHiJYAZq,Vanished,Crystal Castles,3.0,0.0,Crystal Castles,2008-03-18,0.713,0.868,0,-6.644,0,0.0305,0.00206,9.23e-05,0.225,0.641,119.98,audio_features,0exOxvY3iHsmAnGHiJYAZq,spotify:track:0exOxvY3iHsmAnGHiJYAZq,https://api.spotify.com/v1/tracks/0exOxvY3iHsmAnGHiJYAZq,https://api.spotify.com/v1/audio-analysis/0exOxvY3iHsmAnGHiJYAZq,242960,4
195,3yQFmN8A5S8Kf1nUJuvb01,Crimewave,Crystal Castles,6.0,0.0,Crystal Castles,2008-03-18,0.746,0.691,4,-7.533,0,0.0403,0.184,0.0259,0.205,0.888,119.982,audio_features,3yQFmN8A5S8Kf1nUJuvb01,spotify:track:3yQFmN8A5S8Kf1nUJuvb01,https://api.spotify.com/v1/tracks/3yQFmN8A5S8Kf1nUJuvb01,https://api.spotify.com/v1/audio-analysis/3yQFmN8A5S8Kf1nUJuvb01,258453,4
196,4P6n0udLAnmCNXVcobYbsK,Oblivion,Grimes,2.0,0.0,Visions,2012-02-21,0.697,0.529,2,-8.838,1,0.0338,0.115,0.901,0.0895,0.486,155.974,audio_features,4P6n0udLAnmCNXVcobYbsK,spotify:track:4P6n0udLAnmCNXVcobYbsK,https://api.spotify.com/v1/tracks/4P6n0udLAnmCNXVcobYbsK,https://api.spotify.com/v1/audio-analysis/4P6n0udLAnmCNXVcobYbsK,251267,4
197,2QXvhG5wkzZthF2OTMIaNz,Overthinking IT,WILLOW,60.0,0.0,WILLOW,2019-07-19,0.369,0.665,0,-6.19,0,0.0695,0.0148,0.0131,0.37,0.323,95.885,audio_features,2QXvhG5wkzZthF2OTMIaNz,spotify:track:2QXvhG5wkzZthF2OTMIaNz,https://api.spotify.com/v1/tracks/2QXvhG5wkzZthF2OTMIaNz,https://api.spotify.com/v1/audio-analysis/2QXvhG5wkzZthF2OTMIaNz,327267,5
198,439X8jGytErRiPnaoUJHju,CHANCES,KAYTRANADA,65.0,0.0,NOTHIN LIKE U / CHANCES,2018-11-30,0.835,0.527,7,-7.272,0,0.128,0.204,0.000423,0.283,0.611,106.003,audio_features,439X8jGytErRiPnaoUJHju,spotify:track:439X8jGytErRiPnaoUJHju,https://api.spotify.com/v1/tracks/439X8jGytErRiPnaoUJHju,https://api.spotify.com/v1/audio-analysis/439X8jGytErRiPnaoUJHju,218200,4
199,13LVADAG1jdD42fe5wihFc,Grind,Les Sins,45.0,0.0,Grind / Prelims,2013-03-18,0.731,0.674,10,-8.281,0,0.0447,0.0501,0.869,0.176,0.765,120.015,audio_features,13LVADAG1jdD42fe5wihFc,spotify:track:13LVADAG1jdD42fe5wihFc,https://api.spotify.com/v1/tracks/13LVADAG1jdD42fe5wihFc,https://api.spotify.com/v1/audio-analysis/13LVADAG1jdD42fe5wihFc,318015,4
